REPLICATE |FNAME     |STERICK   |SHAPE     |RADIUS    |RIGIDITY  |GSPEED    |SSPEED    |GFORCE    |KON       |BDIST     |KOFF      |KOFF_F    |NFIL      |NBLOB     |BLOBSIZE  |VALENCY   |
2         |R_11_r_2  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
3         |R_11_r_3  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
4         |R_11_r_4  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
5         |R_11_r_5  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
6         |R_11_r_6  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
7         |R_11_r_7  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
8         |R_11_r_8  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
9         |R_11_r_9  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
0         |R_12_r_0  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
1         |R_12_r_1  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
2         |R_12_r_2  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
3         |R_12_r_3  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
4         |R_12_r_4  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
5         |R_12_r_5  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
6         |R_12_r_6  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
7         |R_12_r_7  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
8         |R_12_r_8  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
9         |R_12_r_9  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
0         |R_13_r_0  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
1         |R_13_r_1  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
2         |R_13_r_2  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
3         |R_13_r_3  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
4         |R_13_r_4  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
5         |R_13_r_5  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
6         |R_13_r_6  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
7         |R_13_r_7  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
8         |R_13_r_8  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
9         |R_13_r_9  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
0         |R_14_r_0  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
1         |R_14_r_1  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
2         |R_14_r_2  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
3         |R_14_r_3  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
4         |R_14_r_4  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
5         |R_14_r_5  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
6         |R_14_r_6  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
7         |R_14_r_7  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
8         |R_14_r_8  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
9         |R_14_r_9  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
0         |R_15_r_0  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
1         |R_15_r_1  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
2         |R_15_r_2  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
3         |R_15_r_3  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
4         |R_15_r_4  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
5         |R_15_r_5  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
6         |R_15_r_6  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.01      |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
